ROW,YEAR,species,CAPDATE,juldate,PERIOD,missing_data,BAND,sex,age,how_sexed,CAPSITE,ver_hab,USE_HAB,hematocrit,T,T_SQRT,T_Log,USE_T,CAPTIME,StdJulDep,Time2Dep,mass,fat,CAPBM,WING,tarsus,TAIL,BANDER,BLOOD_TIME,HEM,TOTAL,bs1,bs7,bs14,bs30,BR1,BR7,BR14,BR30
33,2009,AMRE,3/12/09,71,2,,255039415,F,SY,PLUM,MM,U,N,0.48,649.12,25.48,2.81,Y,1245,NA,,6.7,2,2,59,16.67,58,MAT,9,11.67,24.08,0,0,43.2,109.2,0,0,0,0
236,2009,AMRE,2/28/09,59,1,,253012320,M,ASY,PLUM,MII,M,Y,0.44,789.41,28.1,2.9,Y,704,120,61,7,0,1,60.5,17.52,52,CMT,1,26.98,61.33,43.2,101.6,101.6,114.3,0,0,0,0
224,2009,AMRE,3/9/09,68,2,,255039534,M,SY,PLUM,LII,E,Y,0.47,937.84,30.62,2.97,Y,1006,NA,,7.2,0,1,59.5,17.37,54.5,MAT,4,31.68,67.57,0,0,101.6,109.2,0,0,0,0
108,2009,AMRE,3/7/09,66,2,,236061190,M,ASY,PLUM,LIIT,L,Y,0.45,992.57,31.51,3,Y,1236,114,48,6.8,2,1,62,17.17,54,CMT,2,26.71,59.99,0,0,101.6,109.2,0,0,0,0
24,2009,AMRE,3/12/09,71,2,,255039413,M,ASY,PLUM,MM,M,Y,0.44,1281.82,35.8,3.11,Y,730,NA,,6.7,0,1,63,17.65,56.5,MAT,5,30.6,69,0,0,43.2,109.2,0,0,0,0
159,2009,AMRE,2/28/09,59,1,,255039514,M,SY,PLUM,MII,U,N,0.48,1356.15,36.83,3.13,Y,927,NA,,6.7,0,1,60.5,17.07,54,CMT,7,14.11,29.54,43.2,101.6,101.6,114.3,0,0,0,0
49,2009,AMRE,3/9/09,68,2,,255039533,F,SY,PLUM,LII,U,N,0.45,1516.98,38.95,3.18,Y,948,NA,,6.4,0,1,58,16.71,57.5,MAT,3,26.92,60.45,0,0,101.6,109.2,0,0,0,0
71,2009,AMRE,3/8/09,67,2,,255039411,M,SY,PLUM,MII,U,N,0.46,1995.03,44.67,3.3,Y,915,NA,,7.1,2,1,61.5,17.28,57,MAT,4,14.75,31.82,0,0,101.6,109.2,0,0,0,0
904,2009,AMRE,2/25/09,56,1,,255039510,M,SY,PLUM,MM,U,N,0.49,2557.07,50.57,3.41,N,1140,NA,,6.7,2,1,60,16.49,53.5,MAT,4,24.89,51.16,58.4,58.4,66,71.1,0,0,0,0
905,2009,AMRE,2/25/09,56,1,,236060961,M,ASY,PLUM,MII,M,Y,0.47,4581.9,67.69,3.66,N,1104,NA,,7.3,2,2,61.5,16.84,54,CMT,NA,31.2,66.55,58.4,58.4,66,71.1,0,0,0,0
906,2009,AMRE,2/25/09,56,1,,255039507,M,SY,PLUM,MII,M,Y,0.46,5736.09,75.74,3.76,N,758,NA,,7.3,0,1,60.5,16.7,55,CMT,2,30.69,66.65,58.4,58.4,66,71.1,0,0,0,0
907,2009,AMRE,2/25/09,56,1,,255039508,F,ASY,PLUM,MM,U,N,0.47,14332.41,119.72,4.16,N,910,NA,,6.6,0,1,56,16.69,54,MAT,4,32.56,69.03,58.4,58.4,66,71.1,0,0,0,0
1472,2010,AMRE,2/9/10,40,1,,255040118,M,ASY,PLUM,MI,M,Y,0.42,244.43,15.63,2.39,Y,1315,NA,,6.7,1,1,60,16.41,52,NWC,3,23.19,55.45,0,0,5.1,5.1,0,2.2,2.2,2.2
1488,2010,AMRE,2/11/10,42,1,,257044357,M,ASY,PLUM,MI,U,N,0.43,276.82,16.64,2.44,Y,930,NA,,6.9,2,1,62,17.04,57.5,MAT,3,29.78,69.02,0,0,5.1,5.1,0,2.2,2.2,2.2
1485,2010,AMRE,2/11/10,42,1,,255040120,M,ASY,PLUM,MI,E,Y,0.4,292.83,17.11,2.47,Y,820,126,84,6.8,1,1,63,16.55,57,MAT,3,27.92,70.02,0,0,5.1,5.1,0,2.2,2.2,2.2
1481,2010,AMRE,2/10/10,41,1,,257044420,M,ASY,PLUM,MI,U,N,0.44,365.24,19.11,2.56,Y,945,NA,,6.4,1,1,62,17.18,58,NWC,5,26.49,60.41,0,0,5.1,5.1,0,2.2,2.2,2.2
1477,2010,AMRE,2/10/10,41,1,,257044353,M,SY,PLUM,MI,U,N,0.46,455.05,21.33,2.66,Y,915,NA,,6.4,2,1,58,17.03,56.5,MAT,11,31.21,67.51,0,0,5.1,5.1,0,2.2,2.2,2.2
1482,2010,AMRE,2/10/10,41,1,,255039502,M,ASY,PLUM,MI,U,N,0.43,876.96,29.61,2.94,N,1205,NA,,6.5,1,1,62,16,56,NWC,8,15.14,35.46,0,0,5.1,5.1,0,2.2,2.2,2.2
1486,2010,AMRE,2/11/10,42,1,Y,257044355,F,SY,PLUM,MI,M,Y,0.41,,,, ,830,NA,,6.6,0,1,56.5,16.41,52,MAT,3,27.29,66.58,0,0,5.1,5.1,0,2.2,2.2,2.2
1489,2010,AMRE,2/11/10,42,1,Y,257044358,F,ASY,PLUM,MI,M,Y,0.43,,,, ,1110,NA,,6.1,1,2,58,16.27,55,MAT,3,21.36,49.78,0,0,5.1,5.1,0,2.2,2.2,2.2
1476,2010,AMRE,2/10/10,41,1,Y,257044352,F,SY,PLUM,MI,M,Y,0.45,,,, ,845,NA,,6.5,2,1,57,17.08,55,MAT,2,25.9,58.18,0,0,5.1,5.1,0,2.2,2.2,2.2
1469,2010,AMRE,2/9/10,40,1,Y,257044417,F,ASY,PLUM,MI,U,N,0.45,,,, ,1100,NA,,6.4,1,1,58,16.34,55,NWC,3,22.81,50.42,0,0,5.1,5.1,0,2.2,2.2,2.2
1493,2010,AMRE,2/12/10,43,1,Y,257044421,M,ASY,PLUM,MII,M,Y,0.46,,,, ,1300,NA,,7.4,1,1,61,15.58,55,NWC,6,15.39,33.8,0,0,5.1,5.1,0,2.2,2.2,2.2
1465,2010,AMRE,2/9/10,40,1,Y,257044351,F,ASY,PLUM,LI,U,N,0.47,,,, ,999,NA,,6.6,0,1,56,16.81,51.5,MAT,3,32.79,70.39,0,0,5.1,5.1,0,2.2,2.2,2.2
1487,2010,AMRE,2/11/10,42,1,Y,257044356,F,SY,PLUM,MI,M,Y,0.48,,,, ,925,123,81,6.5,2,2,55.5,17.51,54,MAT,4,20.29,42.67,0,0,5.1,5.1,0,2.2,2.2,2.2
1464,2010,AMRE,2/9/10,40,1,Y,257044350,F,SY,PLUM,LI,E,Y,0.49,,,, ,999,132,92,6.7,1,2,57,17.61,55.5,MAT,3,30.82,63.52,0,0,5.1,5.1,0,2.2,2.2,2.2
1447,2010,AMRE,2/8/10,39,1,,241079151,M,ASY,PLUM,LI,M,Y,0.43,542.92,23.3,2.73,Y,715,NA,,7,0,1,62,16.81,58,MAT,4,17.63,41.42,0,5.1,5.1,5.1,2.2,2.2,2.2,3.7
1460,2010,AMRE,2/8/10,39,1,,257044416,M,SY,PLUM,MI,U,N,0.46,1067.04,32.67,3.03,n,950,114,75,7,1,1,60.5,17.72,55,NWC,5,14.01,30.24,0,5.1,5.1,5.1,2.2,2.2,2.2,3.7
1461,2010,AMRE,2/8/10,39,1,Y,257044415,F,ASY,PLUM,MI,M,Y,0.44,,,, ,950,NA,,6.4,2,1,59,16.8,56,NWC,4,26.26,59.93,0,5.1,5.1,5.1,2.2,2.2,2.2,3.7
1451,2010,AMRE,2/8/10,39,1,Y,257044349,F,ASY,PLUM,LI,L,Y,0.45,,,, ,830,NA,,6.1,0,1,57,16.27,52,MAT,5,30.93,68.43,0,5.1,5.1,5.1,2.2,2.2,2.2,3.7
1720,2010,AMRE,3/18/10,77,3,,255040187,M,ASY,PLUM,LII,L,Y,0.41,232.54,15.25,2.37,Y,1040,132,55,6.6,0,1,61.5,17.69,58,CMT,2,26.93,65.24,0,0,0,30.5,0,0,0,4
1838,2010,AMRE,3/25/10,84,3,,257044375,M,ASY,PLUM,MI,U,N,0.44,236.08,15.36,2.37,Y,640,NA,,6.4,1,1,61,17.3,55.5,CMT,2,28.82,64.81,0,0,0,30.5,0,0,0,4
1707,2010,AMRE,3/17/10,76,3,,241079116,M,ASY,PLUM,LII,L,Y,0.43,274.19,16.56,2.44,Y,740,129,53,7.2,0,1,62.5,17.46,57.5,CMT,3,27.93,65.12,0,0,0,30.5,0,0,0,4
1831,2010,AMRE,3/24/10,83,3,,253012353,M,ASY,PLUM,MI,M,Y,0.44,321.62,17.93,2.51,Y,1240,129,46,6.9,3,1,63,16.9,55,CMT,2,27.98,63.07,0,0,0,30.5,0,0,0,4
1840,2010,AMRE,3/25/10,84,3,,255040118,M,ASY,PLUM,MI,M,Y,0.45,330.9,18.19,2.52,Y,810,NA,,6.2,1,1,60,16.41,52,CMT,5,23.34,51.38,0,0,0,30.5,0,0,0,4
1829,2010,AMRE,3/24/10,83,3,,257044329,M,SY,PLUM,MI,M,Y,0.47,337.39,18.37,2.53,Y,1040,132,49,6.4,2,1,58.5,16.61,57,CMT,3,28.45,60.24,0,0,0,30.5,0,0,0,4
1769,2010,AMRE,3/20/10,79,3,,235013003,M,ASY,PLUM,LII,L,Y,0.49,352.59,18.78,2.55,n,1045,129,50,6.8,1,2,61.5,16.75,57,NWC,3,21.63,43.71,0,0,0,30.5,0,0,0,4
1766,2010,AMRE,3/20/10,79,3,,257044426,M,SY,PLUM,LII,L,Y,0.45,355.27,18.85,2.55,Y,1015,132,53,7.1,2,1,61.5,17.04,56.5,NWC,5,23.09,51.66,0,0,0,30.5,0,0,0,4
1816,2010,AMRE,3/24/10,83,3,Y,255039302,M,ASY,PLUM,MII,M,Y,0.49,359.31,18.96,2.56,Y,830,114,31,6.8,,NA,63.5,17.86,57,NWC,5,24.77,50.44,0,0,0,30.5,0,0,0,4
1743,2010,AMRE,3/19/10,78,3,,241079056,M,ASY,PLUM,MII,E,Y,0.48,394,19.85,2.6,Y,1240,NA,,6.5,1,2,61,16.45,51.5,NWC,4,30.08,62.59,0,0,0,30.5,0,0,0,4
